PFBCOLO CB Equity;ECOPETL CB Equity;GRUPOSUR CB Equity;BCOLO CB Equity;ISA CB Equity;NUTRESA CB Equity;GEB CB Equity;GRUPOARG CB Equity;PFAVAL CB Equity;PFGRUPSU CB Equity;PFDAVVND CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;EXITO CB Equity;BOGOTA CB Equity;CELSIA CB Equity;CORFICOL CB Equity;PFCEMARG CB Equity;CLH CB Equity;AVAL CB Equity;PFAVH CB Equity;BVC CB Equity;CNEC CB Equity;CONCONC CB Equity;ETB CB Equity
 28.280 ; 1.415 ; 39.080 ; 26.420 ; 8.660 ; 25.600 ; 1.880 ; 19.380 ; 1.175 ; 38.140 ; 26.760 ; 11.240 ; 18.500 ; 16.380 ; 63.000 ; 3.857 ; 37.082 ; 10.500 ; 12.900 ; 1.205 ; 2.165 ; 9.100 ; 8.780 ; 1.200 ; 598 
 28.240 ; 1.445 ; 39.220 ; 26.480 ; 8.850 ; 25.500 ; 1.865 ; 19.600 ; 1.185 ; 38.500 ; 26.640 ; 11.380 ; 18.560 ; 16.580 ; 62.000 ; 3.961 ; 37.018 ; 10.420 ; 12.800 ; 1.200 ; 2.215 ; 9.000 ; 8.950 ; 1.215 ; 600 
 28.300 ; 1.460 ; 38.900 ; 26.520 ; 8.850 ; 25.500 ; 1.850 ; 19.340 ; 1.180 ; 38.420 ; 26.540 ; 11.260 ; 18.180 ; 16.860 ; 62.000 ; 3.956 ; 36.731 ; 10.460 ; 12.720 ; 1.205 ; 2.180 ; 9.000 ; 9.000 ; 1.210 ; 595 
 28.180 ; 1.440 ; 38.980 ; 26.500 ; 8.850 ; 25.500 ; 1.850 ; 19.280 ; 1.175 ; 38.500 ; 26.500 ; 11.500 ; 18.300 ; 16.700 ; 63.000 ; 3.917 ; 37.094 ; 10.520 ; 12.900 ; 1.195 ; 2.175 ; 9.150 ; 8.900 ; 1.210 ; 600 
 27.080 ; 1.415 ; 38.500 ; 25.500 ; 8.700 ; 26.000 ; 1.850 ; 18.800 ; 1.190 ; 38.000 ; 26.840 ; 11.580 ; 17.500 ; 16.020 ; 62.980 ; 3.808 ; 36.903 ; 10.660 ; 13.060 ; 1.210 ; 2.090 ; 8.950 ; 9.300 ; 1.225 ; 610 
 27.160 ; 1.370 ; 39.280 ; 25.320 ; 8.640 ; 25.800 ; 1.855 ; 19.040 ; 1.180 ; 38.780 ; 26.260 ; 11.460 ; 17.860 ; 16.340 ; 62.980 ; 3.956 ; 37.113 ; 10.660 ; 13.040 ; 1.190 ; 2.055 ; 9.050 ; 8.750 ; 1.185 ; 607 
 26.800 ; 1.370 ; 38.600 ; 25.000 ; 8.580 ; 25.240 ; 1.840 ; 18.180 ; 1.180 ; 38.980 ; 25.620 ; 11.200 ; 17.080 ; 15.780 ; 62.460 ; 3.808 ; 36.999 ; 10.400 ; 12.600 ; 1.160 ; 2.090 ; 8.900 ; 8.450 ; 1.130 ; 598 
 26.580 ; 1.395 ; 38.300 ; 24.820 ; 8.620 ; 25.000 ; 1.825 ; 18.000 ; 1.180 ; 37.900 ; 25.620 ; 11.260 ; 16.740 ; 15.500 ; 61.080 ; 3.758 ; 36.463 ; 10.220 ; 12.560 ; 1.160 ; 2.080 ; 8.900 ; 8.450 ; 1.165 ; 595 
 26.020 ; 1.390 ; 36.900 ; 24.220 ; 8.410 ; 24.900 ; 1.810 ; 17.540 ; 1.165 ; 36.660 ; 25.600 ; 10.840 ; 16.400 ; 15.300 ; 62.300 ; 3.694 ; 36.157 ; 10.260 ; 12.980 ; 1.165 ; 2.100 ; 8.950 ; 8.580 ; 1.150 ; 585 
 26.220 ; 1.395 ; 36.900 ; 24.380 ; 8.500 ; 24.900 ; 1.810 ; 17.200 ; 1.170 ; 36.300 ; 25.700 ; 10.980 ; 16.380 ; 15.600 ; 62.000 ; 3.783 ; 35.889 ; 10.280 ; 12.800 ; 1.160 ; 2.060 ; 8.750 ; 8.480 ; 1.130 ; 585 
 26.220 ; 1.395 ; 36.900 ; 24.380 ; 8.500 ; 24.900 ; 1.810 ; 17.200 ; 1.170 ; 36.300 ; 25.700 ; 10.980 ; 16.380 ; 15.600 ; 62.000 ; 3.783 ; 35.889 ; 10.280 ; 12.800 ; 1.160 ; 2.060 ; 8.750 ; 8.480 ; 1.130 ; 585 
 26.980 ; 1.405 ; 38.800 ; 25.220 ; 8.700 ; 25.220 ; 1.875 ; 18.000 ; 1.190 ; 37.880 ; 25.980 ; 11.320 ; 17.000 ; 15.900 ; 62.180 ; 3.882 ; 36.157 ; 10.500 ; 13.500 ; 1.175 ; 2.100 ; 8.950 ; 8.600 ; 1.145 ; 586 
 26.800 ; 1.400 ; 38.820 ; 25.400 ; 8.820 ; 25.900 ; 1.875 ; 18.100 ; 1.175 ; 38.360 ; 25.820 ; 11.640 ; 17.200 ; 15.820 ; 63.000 ; 3.872 ; 37.247 ; 10.740 ; 13.460 ; 1.200 ; 2.135 ; 8.950 ; 8.540 ; 1.155 ; 596 
 27.020 ; 1.420 ; 39.220 ; 25.500 ; 8.850 ; 26.260 ; 1.900 ; 18.560 ; 1.170 ; 38.840 ; 26.360 ; 11.680 ; 17.700 ; 15.900 ; 64.700 ; 3.931 ; 37.190 ; 10.960 ; 13.600 ; 1.205 ; 2.125 ; 8.950 ; 9.010 ; 1.175 ; 601 
 27.120 ; 1.405 ; 39.360 ; 25.700 ; 8.830 ; 26.200 ; 1.850 ; 18.700 ; 1.165 ; 38.900 ; 26.140 ; 11.880 ; 17.980 ; 15.820 ; 64.780 ; 3.902 ; 36.673 ; 11.000 ; 13.240 ; 1.200 ; 2.110 ; 8.950 ; 8.900 ; 1.140 ; 602 
 27.340 ; 1.445 ; 39.300 ; 25.700 ; 8.890 ; 25.800 ; 1.895 ; 18.820 ; 1.175 ; 38.800 ; 26.500 ; 11.920 ; 17.800 ; 15.780 ; 64.800 ; 3.936 ; 36.788 ; 11.260 ; 13.200 ; 1.205 ; 2.120 ; 9.000 ; 9.000 ; 1.170 ; 601 
 27.040 ; 1.465 ; 38.600 ; 25.360 ; 8.770 ; 25.780 ; 1.870 ; 18.680 ; 1.165 ; 38.080 ; 26.200 ; 11.760 ; 17.600 ; 15.560 ; 62.240 ; 3.877 ; 36.559 ; 10.940 ; 13.200 ; 1.180 ; 2.130 ; 9.000 ; 9.030 ; 1.170 ; 595 
 27.300 ; 1.405 ; 38.400 ; 25.120 ; 8.700 ; 25.040 ; 1.840 ; 18.000 ; 1.170 ; 38.000 ; 26.400 ; 11.600 ; 17.000 ; 15.420 ; 61.540 ; 3.837 ; 36.080 ; 11.040 ; 13.000 ; 1.170 ; 2.105 ; 8.800 ; 8.850 ; 1.160 ; 600 
 26.900 ; 1.415 ; 37.700 ; 25.060 ; 8.700 ; 25.780 ; 1.845 ; 17.700 ; 1.160 ; 37.560 ; 25.900 ; 11.800 ; 17.000 ; 15.200 ; 62.000 ; 3.778 ; 36.157 ; 11.000 ; 13.000 ; 1.170 ; 2.055 ; 8.600 ; 8.590 ; 1.225 ; 600 
 27.000 ; 1.400 ; 37.600 ; 25.400 ; 8.760 ; 25.540 ; 1.845 ; 17.780 ; 1.155 ; 37.300 ; 25.700 ; 11.680 ; 17.000 ; 15.340 ; 61.980 ; 3.857 ; 36.157 ; 10.960 ; 12.960 ; 1.200 ; 2.075 ; 8.750 ; 8.670 ; 1.200 ; 605 
 27.200 ; 1.395 ; 37.780 ; 25.400 ; 8.850 ; 25.200 ; 1.875 ; 18.000 ; 1.160 ; 37.420 ; 25.700 ; 11.740 ; 17.220 ; 15.260 ; 61.040 ; 3.857 ; 36.176 ; 11.000 ; 12.900 ; 1.155 ; 2.080 ; 8.750 ; 8.660 ; 1.180 ; 608 
 26.680 ; 1.385 ; 37.700 ; 24.820 ; 8.930 ; 25.180 ; 1.900 ; 18.000 ; 1.155 ; 37.280 ; 25.300 ; 11.860 ; 17.200 ; 15.180 ; 59.000 ; 3.828 ; 36.826 ; 11.000 ; 13.120 ; 1.180 ; 2.065 ; 8.750 ; 8.640 ; 1.145 ; 608 
 25.760 ; 1.410 ; 37.200 ; 24.080 ; 8.900 ; 25.120 ; 1.895 ; 17.700 ; 1.165 ; 36.900 ; 25.120 ; 11.640 ; 16.940 ; 15.160 ; 59.000 ; 3.837 ; 36.444 ; 10.900 ; 13.300 ; 1.150 ; 2.050 ; 8.750 ; 8.870 ; 1.200 ; 610 
 26.080 ; 1.395 ; 36.860 ; 24.200 ; 8.760 ; 25.020 ; 1.885 ; 17.540 ; 1.170 ; 36.540 ; 25.740 ; 11.340 ; 16.900 ; 15.120 ; 58.900 ; 3.857 ; 35.870 ; 10.900 ; 13.280 ; 1.155 ; 2.040 ; 8.750 ; 8.900 ; 1.150 ; 605 
